Index_source,emb_index_no,rel,date_of_rel,year_of_rel,candidate_seed_blog,goal_url,goal_url_type,goal_url_creator,goal_url_location,goal_url_lang,goal_url_last_post_date,goal_url_first_post_date,goal_url_num_posts,goal_url_notes,goal_url_topic,This data generated 30 August 2014
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://vmmaterialculture.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://organophilia.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://earthlynoise.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://sociomusicology.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://musicalidentities.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2010,,http://vocalife.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://blogs.wm.edu/author/akrasm/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://www.beatdiaspora.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://mcseychelles.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,https://service.gmx.net/de/cgi/derefer?TYPE=3&DEST=http%3A%2F%2Fjamesbayfiddle.blogspot.com,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://mbirablog.org/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://lusomusic.tumblr.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://web.me.com/wvdm/Meersahebs_noblog_on_music,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://adklez.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://adklez2.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://theplaceoflonging.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://vinylvacations.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://historicalethnomusicology.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://subrotoroy.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://ccdrnotes.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://service.gmx.net/de/cgi/derefer?TYPE=3&DEST=http%3A%2F%2Fsoundingthedepths.blogspot.com%2F,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://swarmalhar.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://novemberbeetle.tumblr.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://www.umbc.edu/eol/9/magrini/index.html,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://www.iaspm.org.uk/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://susmanmusic.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://brasilstudien.simpleblog.org/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://ictm2011.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://blog.afropop.org/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://thirdfloormusic.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2011,,http://service.gmx.net/de/cgi/derefer?TYPE=3&DEST=http%3A%2F%2Fmindslikeknives.blogspot.com%2F,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://talkingethnomusicology.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://starofswords.wordpress.com/author/starofswords/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://sahelsounds.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://jacquesbouet.musicblog.fr/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://pittrivers-sound.blogspot.co.uk/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://www.insideworldmusic.blogspot.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://www.o-em.org/index.php/easyblog,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://halfsharpmusic.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://lmgmblog.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2012,,http://www.soundwalk.com/blog/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://www.ethnomusicology.org/?Pub_Blog,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://cantadordechula.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://tierradevientos.blogspot.com.es/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://aulademusicatradicional.blogspot.com.br/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://blogs.ubc.ca/normanstanfield/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://ietnomusicologia.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://talkingethnomusicology.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,https://blogs.law.harvard.edu/loebmusic/tag/ethnomusicology/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://macambiquesquicumbisensaiosdepromessa.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2013,,http://musicaemusiche.org/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2014,,http://ilhadamusicailhada.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2014,,http://geoffbakermusic.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2014,,http://jonathangovias.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2014,,http://funeralscapes.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2014,,http://dancearoundtheglobe.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2014,,http://drgearoid.wordpress.com/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,,linksTo,,2014,,http://www.open.ac.uk/blogs/vem/,,,,,,,,,,
http://ethnomblogs.blogspot.com/,172,linksTo,,2014,,http://edi-nasution.blogspot.de/,,,,,,,,,,
